BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-07-07;85:146:58241-00786-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;20;B;False;False;8507180;Thun, Bahnhof;2024-07-07 05:54:00;2024-07-07 05:55:33;REAL;;;;False;1.55
2024-07-07;85:146:58171-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-07-07 05:54:00;2024-07-07 05:55:07;REAL;07.07.2024 06:00;07.07.2024 06:00:15;REAL;False;1.1166666666666667
2024-07-07;85:146:58962-00786-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-07-07 05:54:00;2024-07-07 05:54:13;REAL;;;;False;0.21666666666666667
2024-07-07;85:146:58098-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;16;B;False;False;8507180;Thun, Bahnhof;2024-07-07 05:57:00;2024-07-07 06:00:40;REAL;07.07.2024 06:00;07.07.2024 06:01:17;REAL;False;3.6666666666666665
2024-07-07;85:146:58900-00786-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-07-07 06:22:00;2024-07-07 06:22:23;REAL;;;;False;0.38333333333333336
2024-07-07;85:146:58172-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-07-07 06:27:00;2024-07-07 06:27:21;REAL;07.07.2024 06:30;07.07.2024 06:30:43;REAL;False;0.35
2024-07-07;85:146:58287-00786-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;21;B;False;False;8507180;Thun, Bahnhof;2024-07-07 06:28:00;2024-07-07 06:28:02;REAL;;;;False;0.03333333333333333
2024-07-07;85:146:58129-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:12:00;2024-07-07 07:13:10;REAL;07.07.2024 07:15;07.07.2024 07:15:15;REAL;False;1.1666666666666667
2024-07-07;85:146:58245-00786-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;20;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:13:00;2024-07-07 07:13:10;REAL;;;;False;0.16666666666666666
2024-07-07;85:146:204702-00786-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;23;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:28:00;2024-07-07 07:28:07;REAL;;;;False;0.11666666666666667
2024-07-07;85:146:59022-00786-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;43;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:29:00;2024-07-07 07:29:38;REAL;;;;False;0.6333333333333333
2024-07-07;85:146:204563-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:42:00;2024-07-07 07:42:04;REAL;07.07.2024 07:45;07.07.2024 07:46:10;REAL;False;0.06666666666666667
2024-07-07;85:146:58836-00786-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;38;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:42:00;2024-07-07 07:42:05;REAL;07.07.2024 07:45;07.07.2024 07:45:45;REAL;False;0.08333333333333333
2024-07-07;85:146:58151-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;16;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:42:00;2024-07-07 07:42:14;REAL;07.07.2024 07:45;07.07.2024 07:46:25;REAL;False;0.23333333333333334
2024-07-07;85:146:58974-00786-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:44:00;2024-07-07 07:44:38;REAL;;;;False;0.6333333333333333
2024-07-07;85:146:59392-00786-1;85:146;STI;STI Bus AG;Bus;85:146:25;25;66;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:54:00;2024-07-07 07:54:08;REAL;;;;False;0.13333333333333333
2024-07-07;85:146:204831-00786-1;85:146;STI;STI Bus AG;Bus;85:146:51;51;32;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:57:00;2024-07-07 08:00:05;REAL;;;;False;3.0833333333333335
2024-07-07;85:146:58102-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:57:00;2024-07-07 07:57:07;REAL;07.07.2024 08:00;07.07.2024 08:00:14;REAL;False;0.11666666666666667
2024-07-07;85:146:58175-00786-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;14;B;False;False;8507180;Thun, Bahnhof;2024-07-07 07:57:00;2024-07-07 07:57:26;REAL;07.07.2024 08:00;07.07.2024 08:01:03;REAL;False;0.43333333333333335
