BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-07-11;85:146:470701-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;10;B;False;False;8507180;Thun, Bahnhof;2024-07-11 05:54:00;2024-07-11 05:54:35;REAL;11.07.2024 05:59;11.07.2024 05:59:27;REAL;False;0.5833333333333334
2024-07-11;85:146:453479-02205-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;47;B;False;False;8507180;Thun, Bahnhof;2024-07-11 05:54:00;2024-07-11 05:54:27;REAL;;;;False;0.45
2024-07-11;85:146:13191-02205-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-07-11 05:54:00;2024-07-11 05:55:20;REAL;;;;False;1.3333333333333333
2024-07-11;85:146:470768-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:06:00;2024-07-11 06:06:01;REAL;11.07.2024 06:09;11.07.2024 06:09:45;REAL;False;0.016666666666666666
2024-07-11;85:146:388716-02205-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;39;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:17:00;2024-07-11 06:17:04;REAL;11.07.2024 06:20;11.07.2024 06:20:33;REAL;False;0.06666666666666667
2024-07-11;85:146:388773-02205-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;46;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:24:00;2024-07-11 06:25:54;REAL;;;;False;1.9
2024-07-11;85:146:455878-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:26:00;2024-07-11 06:26:12;REAL;11.07.2024 06:29;11.07.2024 06:29:41;REAL;False;0.2
2024-07-11;85:146:470730-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;12;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:26:00;2024-07-11 06:26:45;REAL;;;;False;0.75
2024-07-11;85:146:470716-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:26:00;2024-07-11 06:27:35;REAL;11.07.2024 06:29;11.07.2024 06:29:59;REAL;False;1.5833333333333333
2024-07-11;85:146:22328-02205-1;85:146;STI;STI Bus AG;Bus;85:146:50;50;35;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:27:00;2024-07-11 06:27:44;REAL;;;;False;0.7333333333333333
2024-07-11;85:146:453442-02205-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;41;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:35:00;2024-07-11 06:35:22;REAL;;;;False;0.36666666666666664
2024-07-11;85:146:453480-02205-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;47;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:45:00;2024-07-11 06:45:06;REAL;;;;False;0.1
2024-07-11;85:146:291898-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:46:00;2024-07-11 06:46:55;REAL;11.07.2024 06:49;11.07.2024 06:49:52;REAL;False;0.9166666666666666
2024-07-11;85:146:312190-02205-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;39;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:47:00;2024-07-11 06:47:01;REAL;11.07.2024 06:50;11.07.2024 06:50:50;REAL;False;0.016666666666666666
2024-07-11;85:146:470816-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;19;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:56:00;2024-07-11 06:56:22;REAL;;;;False;0.36666666666666664
2024-07-11;85:146:470790-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:56:00;2024-07-11 06:57:24;REAL;11.07.2024 06:59;11.07.2024 06:59:42;REAL;False;1.4
2024-07-11;85:146:453390-02205-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;26;B;False;False;8507180;Thun, Bahnhof;2024-07-11 06:57:00;2024-07-11 06:57:28;REAL;;;;False;0.4666666666666667
2024-07-11;85:146:470702-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;10;B;False;False;8507180;Thun, Bahnhof;2024-07-11 07:06:00;2024-07-11 07:07:04;REAL;11.07.2024 07:09;11.07.2024 07:09:25;REAL;False;1.0666666666666667
2024-07-11;85:146:453450-02205-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;42;B;False;False;8507180;Thun, Bahnhof;2024-07-11 07:15:00;2024-07-11 07:15:57;REAL;;;;False;0.95
2024-07-11;85:146:470737-02205-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-07-11 07:16:00;2024-07-11 07:16:49;REAL;11.07.2024 07:19;11.07.2024 07:19:56;REAL;False;0.8166666666666667
2024-07-11;85:146:388717-02205-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;39;B;False;False;8507180;Thun, Bahnhof;2024-07-11 07:17:00;2024-07-11 07:17:23;REAL;11.07.2024 07:20;11.07.2024 07:20:25;REAL;False;0.38333333333333336
