BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-07-14;85:146:451124-02211-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;23;B;False;False;8507180;Thun, Bahnhof;2024-07-14 06:13:00;2024-07-14 06:13:55;REAL;;;;False;0.9166666666666666
2024-07-14;85:146:203741-02211-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-07-14 06:22:00;2024-07-14 06:22:56;REAL;;;;False;0.9333333333333333
2024-07-14;85:146:204363-02211-1;85:146;STI;STI Bus AG;Bus;85:146:21;21;53;B;False;False;8507180;Thun, Bahnhof;2024-07-14 06:39:00;2024-07-14 06:39:14;REAL;;;;False;0.23333333333333334
2024-07-14;85:146:451466-02211-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;41;B;False;False;8507180;Thun, Bahnhof;2024-07-14 06:52:00;2024-07-14 06:52:25;REAL;;;;False;0.4166666666666667
2024-07-14;85:146:267799-02211-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;30;B;False;False;8507180;Thun, Bahnhof;2024-07-14 06:57:00;2024-07-14 06:57:36;REAL;;;;False;0.6
2024-07-14;85:146:175314-02211-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-07-14 07:14:00;2024-07-14 07:14:49;REAL;;;;False;0.8166666666666667
2024-07-14;85:146:451127-02211-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;23;B;False;False;8507180;Thun, Bahnhof;2024-07-14 07:28:00;2024-07-14 07:29:37;REAL;;;;False;1.6166666666666667
2024-07-14;85:146:451088-02211-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;22;B;False;False;8507180;Thun, Bahnhof;2024-07-14 07:58:00;2024-07-14 07:58:23;REAL;;;;False;0.38333333333333336
2024-07-14;85:146:175316-02211-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-07-14 07:59:00;2024-07-14 07:59:16;REAL;;;;False;0.26666666666666666
2024-07-14;85:146:265843-02211-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-07-14 08:12:00;2024-07-14 08:12:26;REAL;14.07.2024 08:15;14.07.2024 08:15:05;REAL;False;0.43333333333333335
2024-07-14;85:146:403003-02211-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;23;B;False;False;8507180;Thun, Bahnhof;2024-07-14 08:12:00;2024-07-14 08:12:42;REAL;;;;False;0.7
2024-07-14;85:146:249621-02211-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;14;B;False;False;8507180;Thun, Bahnhof;2024-07-14 08:12:00;2024-07-14 08:12:05;REAL;14.07.2024 08:15;14.07.2024 08:15:32;REAL;False;0.08333333333333333
2024-07-14;85:146:249548-02211-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-07-14 08:27:00;2024-07-14 08:27:38;REAL;14.07.2024 08:30;14.07.2024 08:30:20;REAL;False;0.6333333333333333
2024-07-14;85:146:265829-02211-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;14;B;False;False;8507180;Thun, Bahnhof;2024-07-14 08:42:00;2024-07-14 08:42:57;REAL;14.07.2024 08:45;14.07.2024 08:45:26;REAL;False;0.95
