BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-07-05;85:146:172706-02209-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-07-05 05:54:00;2024-07-05 05:55:18;REAL;;;;False;1.3
2024-07-05;85:146:388819-02209-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-07-05 05:54:00;2024-07-05 05:54:39;REAL;05.07.2024 05:59;05.07.2024 05:59:23;REAL;False;0.65
2024-07-05;85:146:388839-02209-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:16:00;2024-07-05 06:16:28;REAL;05.07.2024 06:19;05.07.2024 06:20:55;REAL;False;0.4666666666666667
2024-07-05;85:146:293094-02209-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;46;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:24:00;2024-07-05 06:24:39;REAL;;;;False;0.65
2024-07-05;85:146:350481-02209-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:26:00;2024-07-05 06:28:08;REAL;05.07.2024 06:29;05.07.2024 06:29:41;REAL;False;2.1333333333333333
2024-07-05;85:146:350496-02209-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;12;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:26:00;2024-07-05 06:27:21;REAL;;;;False;1.35
2024-07-05;85:146:320726-02209-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;41;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:35:00;2024-07-05 06:35:14;REAL;;;;False;0.23333333333333334
2024-07-05;85:146:352584-02209-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;24;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:47:00;2024-07-05 06:47:57;REAL;;;;False;0.95
2024-07-05;85:146:171773-02209-1;85:146;STI;STI Bus AG;Bus;85:146:25;25;66;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:54:00;2024-07-05 06:54:27;REAL;;;;False;0.45
2024-07-05;85:146:387862-02209-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;25;B;False;False;8507180;Thun, Bahnhof;2024-07-05 06:55:00;2024-07-05 06:55:28;REAL;;;;False;0.4666666666666667
