BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-08-27;85:146:258197-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;10;B;False;False;8507180;Thun, Bahnhof;2024-08-27 05:54:00;2024-08-27 05:54:11;REAL;27.08.2024 05:59;27.08.2024 06:00:06;REAL;False;0.18333333333333332
2024-08-27;85:146:453875-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;47;B;False;False;8507180;Thun, Bahnhof;2024-08-27 05:54:00;2024-08-27 05:54:41;REAL;;;;False;0.6833333333333333
2024-08-27;85:146:261783-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-08-27 05:54:00;2024-08-27 05:54:09;REAL;27.08.2024 05:59;27.08.2024 05:59:38;REAL;False;0.15
2024-08-27;85:146:27303-02194-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-08-27 05:54:00;2024-08-27 05:55:14;REAL;;;;False;1.2333333333333334
2024-08-27;85:146:261800-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:16:00;2024-08-27 06:16:11;REAL;27.08.2024 06:19;27.08.2024 06:19:46;REAL;False;0.18333333333333332
2024-08-27;85:146:386672-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;39;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:17:00;2024-08-27 06:18:01;REAL;27.08.2024 06:20;27.08.2024 06:20:34;REAL;False;1.0166666666666666
2024-08-27;85:146:315703-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;46;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:24:00;2024-08-27 06:24:05;REAL;;;;False;0.08333333333333333
2024-08-27;85:146:438661-02194-1;85:146;STI;STI Bus AG;Bus;85:146:21;21;57;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:24:00;2024-08-27 06:24:27;REAL;;;;False;0.45
2024-08-27;85:146:453850-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;42;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:25:00;2024-08-27 06:25:08;REAL;;;;False;0.13333333333333333
2024-08-27;85:146:261849-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:26:00;2024-08-27 06:26:11;REAL;27.08.2024 06:29;27.08.2024 06:30:11;REAL;False;0.18333333333333332
2024-08-27;85:146:270283-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;12;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:26:00;2024-08-27 06:26:43;REAL;;;;False;0.7166666666666667
2024-08-27;85:146:258216-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:26:00;2024-08-27 06:27:35;REAL;27.08.2024 06:29;27.08.2024 06:30:18;REAL;False;1.5833333333333333
2024-08-27;85:146:389167-02194-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;27;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:27:00;2024-08-27 06:27:08;REAL;;;;False;0.13333333333333333
2024-08-27;85:146:386645-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;28;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:27:00;2024-08-27 06:27:18;REAL;27.08.2024 06:30;27.08.2024 06:30:38;REAL;False;0.3
2024-08-27;85:146:10429-02194-1;85:146;STI;STI Bus AG;Bus;85:146:50;50;35;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:27:00;2024-08-27 06:28:33;REAL;;;;False;1.55
2024-08-27;85:146:453843-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;41;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:35:00;2024-08-27 06:35:20;REAL;;;;False;0.3333333333333333
2024-08-27;85:146:258307-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;16;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:36:00;2024-08-27 06:36:30;REAL;27.08.2024 06:39;27.08.2024 06:39:15;REAL;False;0.5
2024-08-27;85:146:386660-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;37;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:37:00;2024-08-27 06:37:03;REAL;27.08.2024 06:40;27.08.2024 06:40:44;REAL;False;0.05
2024-08-27;85:146:453876-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;47;B;False;False;8507180;Thun, Bahnhof;2024-08-27 06:45:00;2024-08-27 06:45:58;REAL;;;;False;0.9666666666666667
