BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-08-14;85:146:453875-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;47;B;False;False;8507180;Thun, Bahnhof;2024-08-14 05:54:00;2024-08-14 05:54:40;REAL;;;;False;0.6666666666666666
2024-08-14;85:146:27303-02194-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-08-14 05:54:00;2024-08-14 05:55:35;REAL;;;;False;1.5833333333333333
2024-08-14;85:146:258197-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;10;B;False;False;8507180;Thun, Bahnhof;2024-08-14 05:54:00;2024-08-14 05:54:01;REAL;14.08.2024 05:59;14.08.2024 05:59:52;REAL;False;0.016666666666666666
2024-08-14;85:146:453891-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;48;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:05:00;2024-08-14 06:05:20;REAL;;;;False;0.3333333333333333
2024-08-14;85:146:258291-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:06:00;2024-08-14 06:06:26;REAL;14.08.2024 06:09;14.08.2024 06:10:04;REAL;False;0.43333333333333335
2024-08-14;85:146:258343-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;18;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:16:00;2024-08-14 06:16:07;REAL;14.08.2024 06:19;14.08.2024 06:19:25;REAL;False;0.11666666666666667
2024-08-14;85:146:386672-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;39;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:17:00;2024-08-14 06:17:50;REAL;14.08.2024 06:20;14.08.2024 06:20:32;REAL;False;0.8333333333333334
2024-08-14;85:146:453794-02194-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;25;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:17:00;2024-08-14 06:17:31;REAL;;;;False;0.5166666666666667
2024-08-14;85:146:315703-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;46;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:24:00;2024-08-14 06:27:19;REAL;;;;False;3.316666666666667
2024-08-14;85:146:453850-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;42;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:25:00;2024-08-14 06:25:14;REAL;;;;False;0.23333333333333334
2024-08-14;85:146:10429-02194-1;85:146;STI;STI Bus AG;Bus;85:146:50;50;35;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:27:00;2024-08-14 06:28:52;REAL;;;;False;1.8666666666666667
2024-08-14;85:146:386645-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;28;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:27:00;2024-08-14 06:27:43;REAL;14.08.2024 06:30;14.08.2024 06:30:32;REAL;False;0.7166666666666667
2024-08-14;85:146:389167-02194-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;27;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:27:00;2024-08-14 06:27:32;REAL;;;;False;0.5333333333333333
2024-08-14;85:146:453843-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;41;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:35:00;2024-08-14 06:36:14;REAL;;;;False;1.2333333333333334
2024-08-14;85:146:258307-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;16;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:36:00;2024-08-14 06:36:44;REAL;14.08.2024 06:39;14.08.2024 06:39:51;REAL;False;0.7333333333333333
2024-08-14;85:146:453876-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;47;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:45:00;2024-08-14 06:45:14;REAL;;;;False;0.23333333333333334
2024-08-14;85:146:258271-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;14;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:46:00;2024-08-14 06:46:40;REAL;14.08.2024 06:49;14.08.2024 06:49:39;REAL;False;0.6666666666666666
2024-08-14;85:146:165946-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:46:00;2024-08-14 06:48:37;REAL;14.08.2024 06:49;14.08.2024 06:50:32;REAL;False;2.6166666666666667
2024-08-14;85:146:386686-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;40;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:47:00;2024-08-14 06:47:32;REAL;14.08.2024 06:50;14.08.2024 06:50:51;REAL;False;0.5333333333333333
2024-08-14;85:146:27943-02194-1;85:146;STI;STI Bus AG;Bus;85:146:42;42;63;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:48:00;2024-08-14 06:48:06;REAL;;;;False;0.1
2024-08-14;85:146:315592-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;33;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:54:00;2024-08-14 06:54:21;REAL;;;;False;0.35
2024-08-14;85:146:346949-02194-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;25;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:55:00;2024-08-14 06:56:34;REAL;;;;False;1.5666666666666667
2024-08-14;85:146:453892-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;48;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:55:00;2024-08-14 06:56:19;REAL;;;;False;1.3166666666666667
2024-08-14;85:146:270373-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;19;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:56:00;2024-08-14 06:56:26;REAL;;;;False;0.43333333333333335
2024-08-14;85:146:258325-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:56:00;2024-08-14 06:57:17;REAL;14.08.2024 06:59;14.08.2024 06:59:51;REAL;False;1.2833333333333334
2024-08-14;85:146:386726-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;56;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:57:00;2024-08-14 06:59:06;REAL;14.08.2024 07:00;14.08.2024 07:00:22;REAL;False;2.1
2024-08-14;85:146:10709-02194-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:57:00;2024-08-14 06:58:43;REAL;;;;False;1.7166666666666666
2024-08-14;85:146:230850-02194-1;85:146;STI;STI Bus AG;Bus;85:146:55;55;29;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:57:00;2024-08-14 06:58:45;REAL;;;;False;1.75
2024-08-14;85:146:116063-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;28;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:57:00;2024-08-14 06:57:20;REAL;14.08.2024 07:00;14.08.2024 07:00:34;REAL;False;0.3333333333333333
2024-08-14;85:146:26875-02194-1;85:146;STI;STI Bus AG;Bus;85:146:51;51;32;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:57:00;2024-08-14 06:57:39;REAL;;;;False;0.65
2024-08-14;85:146:389168-02194-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;27;B;False;False;8507180;Thun, Bahnhof;2024-08-14 06:57:00;2024-08-14 06:57:04;REAL;;;;False;0.06666666666666667
2024-08-14;85:146:453864-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;43;B;False;False;8507180;Thun, Bahnhof;2024-08-14 07:05:00;2024-08-14 07:06:02;REAL;;;;False;1.0333333333333334
2024-08-14;85:146:386715-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;45;B;False;False;8507180;Thun, Bahnhof;2024-08-14 07:07:00;2024-08-14 07:07:22;REAL;14.08.2024 07:10;14.08.2024 07:10:20;REAL;False;0.36666666666666664
2024-08-14;85:146:27475-02194-1;85:146;STI;STI Bus AG;Bus;85:146:50;50;46;B;False;False;8507180;Thun, Bahnhof;2024-08-14 07:12:00;2024-08-14 07:13:06;REAL;;;;False;1.1
2024-08-14;85:146:453851-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;42;B;False;False;8507180;Thun, Bahnhof;2024-08-14 07:15:00;2024-08-14 07:16:46;REAL;;;;False;1.7666666666666666
2024-08-14;85:146:258254-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-08-14 07:16:00;2024-08-14 07:17:16;REAL;14.08.2024 07:19;14.08.2024 07:19:08;REAL;False;1.2666666666666666
2024-08-14;85:146:386673-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;39;B;False;False;8507180;Thun, Bahnhof;2024-08-14 07:17:00;2024-08-14 07:18:29;REAL;14.08.2024 07:20;14.08.2024 07:20:42;REAL;False;1.4833333333333334
