BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-08-28;85:146:27303-02194-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-08-28 05:54:00;2024-08-28 05:55:31;REAL;;;;False;1.5166666666666666
2024-08-28;85:146:261783-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-08-28 05:54:00;2024-08-28 05:54:03;REAL;28.08.2024 05:59;28.08.2024 06:00:34;REAL;False;0.05
2024-08-28;85:146:258197-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;10;B;False;False;8507180;Thun, Bahnhof;2024-08-28 05:54:00;2024-08-28 05:54:44;REAL;28.08.2024 05:59;28.08.2024 05:59:30;REAL;False;0.7333333333333333
2024-08-28;85:146:105260-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;28;B;False;False;8507180;Thun, Bahnhof;2024-08-28 05:54:00;2024-08-28 05:54:07;REAL;;;;False;0.11666666666666667
2024-08-28;85:146:453875-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;47;B;False;False;8507180;Thun, Bahnhof;2024-08-28 05:54:00;2024-08-28 05:54:29;REAL;;;;False;0.48333333333333334
2024-08-28;85:146:258291-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:06:00;2024-08-28 06:06:24;REAL;28.08.2024 06:09;28.08.2024 06:09:26;REAL;False;0.4
2024-08-28;85:146:261837-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;16;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:06:00;2024-08-28 06:06:30;REAL;28.08.2024 06:09;28.08.2024 06:10:51;REAL;False;0.5
2024-08-28;85:146:453752-02194-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;20;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:07:00;2024-08-28 06:07:31;REAL;;;;False;0.5166666666666667
2024-08-28;85:146:453863-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;43;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:15:00;2024-08-28 06:15:17;REAL;;;;False;0.2833333333333333
2024-08-28;85:146:258343-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;18;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:16:00;2024-08-28 06:16:36;REAL;28.08.2024 06:19;28.08.2024 06:19:48;REAL;False;0.6
2024-08-28;85:146:261800-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:16:00;2024-08-28 06:19:12;REAL;28.08.2024 06:19;28.08.2024 06:20:23;REAL;False;3.2
2024-08-28;85:146:386672-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;39;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:17:00;2024-08-28 06:17:09;REAL;28.08.2024 06:20;28.08.2024 06:20:44;REAL;False;0.15
2024-08-28;85:146:453794-02194-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;25;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:17:00;2024-08-28 06:18:45;REAL;;;;False;1.75
2024-08-28;85:146:315703-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;46;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:24:00;2024-08-28 06:25:55;REAL;;;;False;1.9166666666666667
2024-08-28;85:146:453850-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;42;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:25:00;2024-08-28 06:25:54;REAL;;;;False;0.9
2024-08-28;85:146:258216-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:26:00;2024-08-28 06:27:00;REAL;28.08.2024 06:29;28.08.2024 06:29:27;REAL;False;1.0
2024-08-28;85:146:270283-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;12;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:26:00;2024-08-28 06:26:09;REAL;;;;False;0.15
2024-08-28;85:146:386645-02194-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;28;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:27:00;2024-08-28 06:27:59;REAL;28.08.2024 06:30;28.08.2024 06:30:39;REAL;False;0.9833333333333333
2024-08-28;85:146:10429-02194-1;85:146;STI;STI Bus AG;Bus;85:146:50;50;35;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:27:00;2024-08-28 06:28:13;REAL;;;;False;1.2166666666666666
2024-08-28;85:146:346933-02194-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;20;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:45:00;2024-08-28 06:45:49;REAL;;;;False;0.8166666666666667
2024-08-28;85:146:258271-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;14;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:46:00;2024-08-28 06:46:02;REAL;28.08.2024 06:49;28.08.2024 06:49:27;REAL;False;0.03333333333333333
2024-08-28;85:146:165946-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:46:00;2024-08-28 06:46:16;REAL;28.08.2024 06:49;28.08.2024 06:49:42;REAL;False;0.26666666666666666
2024-08-28;85:146:20227-02194-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:47:00;2024-08-28 06:47:04;REAL;;;;False;0.06666666666666667
2024-08-28;85:146:27943-02194-1;85:146;STI;STI Bus AG;Bus;85:146:42;42;63;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:48:00;2024-08-28 06:49:47;REAL;;;;False;1.7833333333333334
2024-08-28;85:146:436445-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;97;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:53:00;2024-08-28 06:53:29;REAL;;;;False;0.48333333333333334
2024-08-28;85:146:346949-02194-1;85:146;STI;STI Bus AG;Bus;85:146:2;2;25;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:55:00;2024-08-28 06:55:20;REAL;;;;False;0.3333333333333333
2024-08-28;85:146:453892-02194-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;48;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:55:00;2024-08-28 06:55:10;REAL;;;;False;0.16666666666666666
2024-08-28;85:146:270373-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;19;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:56:00;2024-08-28 06:57:29;REAL;;;;False;1.4833333333333334
2024-08-28;85:146:258325-02194-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;17;B;False;False;8507180;Thun, Bahnhof;2024-08-28 06:56:00;2024-08-28 06:56:53;REAL;28.08.2024 06:59;28.08.2024 06:59:27;REAL;False;0.8833333333333333
