BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-08-11;85:146:451460-02198-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;41;B;False;False;8507180;Thun, Bahnhof;2024-08-11 05:54:00;2024-08-11 05:54:29;REAL;;;;False;0.48333333333333334
2024-08-11;85:146:451002-02198-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;20;B;False;False;8507180;Thun, Bahnhof;2024-08-11 05:54:00;2024-08-11 05:55:23;REAL;;;;False;1.3833333333333333
2024-08-11;85:146:265801-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;12;B;False;False;8507180;Thun, Bahnhof;2024-08-11 05:54:00;2024-08-11 05:54:08;REAL;11.08.2024 06:00;11.08.2024 06:00:44;REAL;False;0.13333333333333333
2024-08-11;85:146:249593-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-08-11 05:54:00;2024-08-11 05:54:46;REAL;11.08.2024 06:00;11.08.2024 06:00:39;REAL;False;0.7666666666666667
2024-08-11;85:146:265841-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:12:00;2024-08-11 06:13:00;REAL;11.08.2024 06:15;11.08.2024 06:15:20;REAL;False;1.0
2024-08-11;85:146:451124-02198-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;23;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:13:00;2024-08-11 06:13:58;REAL;;;;False;0.9666666666666667
2024-08-11;85:146:203741-02198-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:22:00;2024-08-11 06:22:36;REAL;;;;False;0.6
2024-08-11;85:146:203679-02198-1;85:146;STI;STI Bus AG;Bus;85:146:50;50;33;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:27:00;2024-08-11 06:28:33;REAL;;;;False;1.55
2024-08-11;85:146:267962-02198-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;38;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:27:00;2024-08-11 06:27:03;REAL;11.08.2024 06:30;11.08.2024 06:30:52;REAL;False;0.05
2024-08-11;85:146:265827-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;14;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:42:00;2024-08-11 06:42:02;REAL;11.08.2024 06:45;11.08.2024 06:45:31;REAL;False;0.03333333333333333
2024-08-11;85:146:203773-02198-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:52:00;2024-08-11 06:52:11;REAL;;;;False;0.18333333333333332
2024-08-11;85:146:451466-02198-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;41;B;False;False;8507180;Thun, Bahnhof;2024-08-11 06:52:00;2024-08-11 06:52:10;REAL;;;;False;0.16666666666666666
2024-08-11;85:146:175314-02198-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-08-11 07:14:00;2024-08-11 07:14:07;REAL;;;;False;0.11666666666666667
2024-08-11;85:146:267801-02198-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;30;B;False;False;8507180;Thun, Bahnhof;2024-08-11 07:27:00;2024-08-11 07:27:38;REAL;11.08.2024 07:30;11.08.2024 07:30:18;REAL;False;0.6333333333333333
2024-08-11;85:146:249595-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-08-11 07:27:00;2024-08-11 07:27:32;REAL;11.08.2024 07:30;11.08.2024 07:30:32;REAL;False;0.5333333333333333
2024-08-11;85:146:203805-02198-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;43;B;False;False;8507180;Thun, Bahnhof;2024-08-11 07:29:00;2024-08-11 07:29:11;REAL;;;;False;0.18333333333333332
2024-08-11;85:146:265828-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;14;B;False;False;8507180;Thun, Bahnhof;2024-08-11 07:42:00;2024-08-11 07:42:11;REAL;11.08.2024 07:45;11.08.2024 07:45:28;REAL;False;0.18333333333333332
