BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-08-09;85:146:459282-02203-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;10;B;False;False;8507180;Thun, Bahnhof;2024-08-09 05:54:00;2024-08-09 05:54:38;REAL;09.08.2024 05:59;09.08.2024 05:59:16;REAL;False;0.6333333333333333
2024-08-09;85:146:455096-02203-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-08-09 05:54:00;2024-08-09 05:54:39;REAL;09.08.2024 05:59;09.08.2024 05:59:28;REAL;False;0.65
2024-08-09;85:146:160582-02203-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;42;B;False;False;8507180;Thun, Bahnhof;2024-08-09 05:54:00;2024-08-09 05:55:29;REAL;;;;False;1.4833333333333334
2024-08-09;85:146:455391-02203-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;48;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:05:00;2024-08-09 06:05:29;REAL;;;;False;0.48333333333333334
2024-08-09;85:146:455199-02203-1;85:146;STI;STI Bus AG;Bus;85:146:5;5;20;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:07:00;2024-08-09 06:07:18;REAL;;;;False;0.3
2024-08-09;85:146:459477-02203-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;18;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:16:00;2024-08-09 06:16:10;REAL;09.08.2024 06:19;09.08.2024 06:19:16;REAL;False;0.16666666666666666
2024-08-09;85:146:389094-02203-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;46;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:24:00;2024-08-09 06:24:53;REAL;;;;False;0.8833333333333333
2024-08-09;85:146:455335-02203-1;85:146;STI;STI Bus AG;Bus;85:146:4;4;42;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:25:00;2024-08-09 06:25:11;REAL;;;;False;0.18333333333333332
2024-08-09;85:146:459313-02203-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;11;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:26:00;2024-08-09 06:27:58;REAL;09.08.2024 06:29;09.08.2024 06:29:33;REAL;False;1.9666666666666666
2024-08-09;85:146:353072-02203-1;85:146;STI;STI Bus AG;Bus;85:146:55;55;38;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:27:00;2024-08-09 06:28:03;REAL;;;;False;1.05
2024-08-09;85:146:167049-02203-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;48;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:27:00;2024-08-09 06:27:03;REAL;;;;False;0.05
2024-08-09;85:146:459433-02203-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;16;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:36:00;2024-08-09 06:36:34;REAL;09.08.2024 06:39;09.08.2024 06:39:22;REAL;False;0.5666666666666667
2024-08-09;85:146:353333-02203-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;45;B;False;False;8507180;Thun, Bahnhof;2024-08-09 06:37:00;2024-08-09 06:37:25;REAL;09.08.2024 06:40;09.08.2024 06:41:16;REAL;False;0.4166666666666667
