BETRIEBSTAG;FAHRT_BEZEICHNER;BETREIBER_ID;BETREIBER_ABK;BETREIBER_NAME;PRODUKT_ID;LINIEN_ID;LINIEN_TEXT;UMLAUF_ID;VERKEHRSMITTEL_TEXT;ZUSATZFAHRT_TF;FAELLT_AUS_TF;BPUIC;HALTESTELLEN_NAME;ANKUNFTSZEIT;AN_PROGNOSE;AN_PROGNOSE_STATUS;ABFAHRTSZEIT;AB_PROGNOSE;AB_PROGNOSE_STATUS;DURCHFAHRT_TF;AN_VERSPAETUNG_MIN
2024-08-01;85:146:359058-02198-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;38;B;False;False;8507180;Thun, Bahnhof;2024-08-01 05:54:00;2024-08-01 05:54:39;REAL;01.08.2024 06:05;01.08.2024 06:05:59;REAL;False;0.65
2024-08-01;85:146:274396-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-01 06:12:00;2024-08-01 06:12:10;REAL;01.08.2024 06:15;01.08.2024 06:15:13;REAL;False;0.16666666666666666
2024-08-01;85:146:218301-02198-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-08-01 06:22:00;2024-08-01 06:22:08;REAL;;;;False;0.13333333333333333
2024-08-01;85:146:266499-02198-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;38;B;False;False;8507180;Thun, Bahnhof;2024-08-01 06:27:00;2024-08-01 06:27:56;REAL;01.08.2024 06:30;01.08.2024 06:31:03;REAL;False;0.9333333333333333
2024-08-01;85:146:265686-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-01 06:42:00;2024-08-01 06:43:03;REAL;01.08.2024 06:45;01.08.2024 06:45:20;REAL;False;1.05
2024-08-01;85:146:329996-02198-1;85:146;STI;STI Bus AG;Bus;85:146:3;3;31;B;False;False;8507180;Thun, Bahnhof;2024-08-01 06:57:00;2024-08-01 06:57:17;REAL;;;;False;0.2833333333333333
2024-08-01;85:146:274371-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;13;B;False;False;8507180;Thun, Bahnhof;2024-08-01 06:57:00;2024-08-01 06:57:32;REAL;01.08.2024 07:00;01.08.2024 07:00:29;REAL;False;0.5333333333333333
2024-08-01;85:146:274397-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;15;B;False;False;8507180;Thun, Bahnhof;2024-08-01 07:12:00;2024-08-01 07:12:36;REAL;01.08.2024 07:15;01.08.2024 07:16:21;REAL;False;0.6
2024-08-01;85:146:218305-02198-1;85:146;STI;STI Bus AG;Bus;85:146:6;6;41;B;False;False;8507180;Thun, Bahnhof;2024-08-01 07:14:00;2024-08-01 07:14:06;REAL;;;;False;0.1
2024-08-01;85:146:218767-02198-1;85:146;STI;STI Bus AG;Bus;85:146:41;41;61;B;False;False;8507180;Thun, Bahnhof;2024-08-01 07:18:00;2024-08-01 07:18:14;REAL;;;;False;0.23333333333333334
2024-08-01;85:146:274359-02198-1;85:146;STI;STI Bus AG;Bus;85:146:1;1;12;B;False;False;8507180;Thun, Bahnhof;2024-08-01 07:27:00;2024-08-01 07:27:23;REAL;01.08.2024 07:30;01.08.2024 07:31:01;REAL;False;0.38333333333333336
